date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
1/22/20,0,4,Alberta,4,January,January-W4
1/22/20,0,6,British Columbia,4,January,January-W4
1/22/20,0,10,Manitoba,4,January,January-W4
1/22/20,0,7,New Brunswick,4,January,January-W4
1/22/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/22/20,0,13,Northwest Territories,4,January,January-W4
1/22/20,0,2,Nova Scotia,4,January,January-W4
1/22/20,0,11,Ontario,4,January,January-W4
1/22/20,0,8,Prince Edward Island,4,January,January-W4
1/22/20,0,1,Quebec,4,January,January-W4
1/22/20,0,3,Saskatchewan,4,January,January-W4
1/22/20,0,9,Yukon,4,January,January-W4
1/22/20,0,12,Nunavut,4,January,January-W4
1/23/20,0,4,Alberta,4,January,January-W4
1/23/20,0,6,British Columbia,4,January,January-W4
1/23/20,0,10,Manitoba,4,January,January-W4
1/23/20,0,7,New Brunswick,4,January,January-W4
1/23/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/23/20,0,13,Northwest Territories,4,January,January-W4
1/23/20,0,2,Nova Scotia,4,January,January-W4
1/23/20,0,11,Ontario,4,January,January-W4
1/23/20,0,8,Prince Edward Island,4,January,January-W4
1/23/20,0,1,Quebec,4,January,January-W4
1/23/20,0,3,Saskatchewan,4,January,January-W4
1/23/20,0,9,Yukon,4,January,January-W4
1/23/20,0,12,Nunavut,4,January,January-W4
1/24/20,0,4,Alberta,4,January,January-W4
1/24/20,0,6,British Columbia,4,January,January-W4
1/24/20,0,10,Manitoba,4,January,January-W4
1/24/20,0,7,New Brunswick,4,January,January-W4
1/24/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/24/20,0,13,Northwest Territories,4,January,January-W4
1/24/20,0,2,Nova Scotia,4,January,January-W4
1/24/20,0,11,Ontario,4,January,January-W4
1/24/20,0,8,Prince Edward Island,4,January,January-W4
1/24/20,0,1,Quebec,4,January,January-W4
1/24/20,0,3,Saskatchewan,4,January,January-W4
1/24/20,0,9,Yukon,4,January,January-W4
1/24/20,0,12,Nunavut,4,January,January-W4
1/25/20,0,4,Alberta,4,January,January-W4
1/25/20,0,6,British Columbia,4,January,January-W4
1/25/20,0,10,Manitoba,4,January,January-W4
1/25/20,0,7,New Brunswick,4,January,January-W4
1/25/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/25/20,0,13,Northwest Territories,4,January,January-W4
1/25/20,0,2,Nova Scotia,4,January,January-W4
1/25/20,0,11,Ontario,4,January,January-W4
1/25/20,0,8,Prince Edward Island,4,January,January-W4
1/25/20,0,1,Quebec,4,January,January-W4
1/25/20,0,3,Saskatchewan,4,January,January-W4
1/25/20,0,9,Yukon,4,January,January-W4
1/25/20,0,12,Nunavut,4,January,January-W4
1/26/20,0,4,Alberta,4,January,January-W4
1/26/20,0,6,British Columbia,4,January,January-W4
1/26/20,0,10,Manitoba,4,January,January-W4
1/26/20,0,7,New Brunswick,4,January,January-W4
1/26/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/26/20,0,13,Northwest Territories,4,January,January-W4
1/26/20,0,2,Nova Scotia,4,January,January-W4
1/26/20,1,11,Ontario,4,January,January-W4
1/26/20,0,8,Prince Edward Island,4,January,January-W4
1/26/20,0,1,Quebec,4,January,January-W4
1/26/20,0,3,Saskatchewan,4,January,January-W4
1/26/20,0,9,Yukon,4,January,January-W4
1/26/20,0,12,Nunavut,4,January,January-W4
1/27/20,0,4,Alberta,4,January,January-W4
1/27/20,0,6,British Columbia,4,January,January-W4
1/27/20,0,10,Manitoba,4,January,January-W4
1/27/20,0,7,New Brunswick,4,January,January-W4
1/27/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/27/20,0,13,Northwest Territories,4,January,January-W4
1/27/20,0,2,Nova Scotia,4,January,January-W4
1/27/20,1,11,Ontario,4,January,January-W4
1/27/20,0,8,Prince Edward Island,4,January,January-W4
1/27/20,0,1,Quebec,4,January,January-W4
1/27/20,0,3,Saskatchewan,4,January,January-W4
1/27/20,0,9,Yukon,4,January,January-W4
1/27/20,0,12,Nunavut,4,January,January-W4
1/28/20,0,4,Alberta,4,January,January-W4
1/28/20,1,6,British Columbia,4,January,January-W4
1/28/20,0,10,Manitoba,4,January,January-W4
1/28/20,0,7,New Brunswick,4,January,January-W4
1/28/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/28/20,0,13,Northwest Territories,4,January,January-W4
1/28/20,0,2,Nova Scotia,4,January,January-W4
1/28/20,1,11,Ontario,4,January,January-W4
1/28/20,0,8,Prince Edward Island,4,January,January-W4
1/28/20,0,1,Quebec,4,January,January-W4
1/28/20,0,3,Saskatchewan,4,January,January-W4
1/28/20,0,9,Yukon,4,January,January-W4
1/28/20,0,12,Nunavut,4,January,January-W4
1/29/20,0,4,Alberta,4,January,January-W4
1/29/20,1,6,British Columbia,4,January,January-W4
1/29/20,0,10,Manitoba,4,January,January-W4
1/29/20,0,7,New Brunswick,4,January,January-W4
1/29/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/29/20,0,13,Northwest Territories,4,January,January-W4
1/29/20,0,2,Nova Scotia,4,January,January-W4
